study_id,comparison_text,outcomes
38471061,gilteritinib vs placebo,"[{""outcome_label"": ""relapse-free survival"", ""effect_text"": ""HR 0.679 (95% CI 0.459 to 1.005)"", ""effect_type"": ""HR"", ""effect_value"": 0.679, ""ci_lower"": 0.459, ""ci_upper"": 1.005, ""follow_up_text"": ""not reported""}, {""outcome_label"": ""overall survival"", ""effect_text"": ""not reported"", ""effect_type"": ""not_reported"", ""effect_value"": null, ""ci_lower"": null, ""ci_upper"": null, ""follow_up_text"": ""not reported""}, {""outcome_label"": ""risk of graft-versus-host disease"", ""effect_text"": ""not reported"", ""effect_type"": ""not_reported"", ""effect_value"": null, ""ci_lower"": null, ""ci_upper"": null, ""follow_up_text"": ""not reported""}]"
39775763,gilteritinib maintenance vs placebo,"[{""outcome_label"": ""relapse-free survival"", ""effect_text"": ""Generally, gilteritinib maintenance therapy was associated with improved relapse-free survival (RFS) for participants with detectable peri-HCT MRD, whereas no benefit was evident for those lacking detectable MRD. No overall effect estimate (HR, RR, OR) reported for the full cohort."", ""effect_type"": ""not_reported"", ""effect_value"": null, ""ci_lower"": null, ""ci_upper"": null, ""follow_up_text"": ""not reported""}, {""outcome_label"": ""overall survival"", ""effect_text"": ""Mentioned that 14.8% of participants with multiple FLT3-ITD clones had worse survival irrespective of treatment arm, but no specific effect estimate (HR, RR, OR) reported for gilteritinib vs placebo."", ""effect_type"": ""not_reported"", ""effect_value"": null, ""ci_lower"": null, ""ci_upper"": null, ""follow_up_text"": ""not reported""}, {""outcome_label"": ""risk of graft-versus-host disease"", ""effect_text"": ""not reported"", ""effect_type"": ""not_reported"", ""effect_value"": null, ""ci_lower"": null, ""ci_upper"": null, ""follow_up_text"": ""not reported""}]"
32673171,sorafenib vs placebo,"[{""outcome_label"": ""Relapse-free survival (primary endpoint)"", ""effect_text"": ""HR 0.39 (95% CI, 0.18 to 0.85)"", ""effect_type"": ""HR"", ""effect_value"": 0.39, ""ci_lower"": 0.18, ""ci_upper"": 0.85, ""follow_up_text"": ""median follow-up 41.8 months""}, {""outcome_label"": ""24-month Relapse-free survival probability"", ""effect_text"": ""HR 0.256 (95% CI, 0.10 to 0.65)"", ""effect_type"": ""HR"", ""effect_value"": 0.256, ""ci_lower"": 0.1, ""ci_upper"": 0.65, ""follow_up_text"": ""24 months""}, {""outcome_label"": ""overall survival"", ""effect_text"": ""not reported"", ""effect_type"": ""not_reported"", ""effect_value"": null, ""ci_lower"": null, ""ci_upper"": null, ""follow_up_text"": ""not reported""}, {""outcome_label"": ""risk of graft-versus-host disease"", ""effect_text"": ""not reported"", ""effect_type"": ""not_reported"", ""effect_value"": null, ""ci_lower"": null, ""ci_upper"": null, ""follow_up_text"": ""not reported""}]"
40079105,quizartinib vs placebo,"[{""outcome_label"": ""Overall Survival (quizartinib treatment in CR1)"", ""effect_text"": ""HR 0.553 (95% CI 0.383-0.798)"", ""effect_type"": ""HR"", ""effect_value"": 0.553, ""ci_lower"": 0.383, ""ci_upper"": 0.798, ""follow_up_text"": ""not reported""}, {""outcome_label"": ""Overall Survival (quizartinib treatment in CRc1)"", ""effect_text"": ""HR 0.645 (95% CI 0.470-0.886)"", ""effect_type"": ""HR"", ""effect_value"": 0.645, ""ci_lower"": 0.47, ""ci_upper"": 0.886, ""follow_up_text"": ""not reported""}, {""outcome_label"": ""relapse-free survival"", ""effect_text"": ""not reported"", ""effect_type"": ""not_reported"", ""effect_value"": null, ""ci_lower"": null, ""ci_upper"": null, ""follow_up_text"": ""not reported""}, {""outcome_label"": ""risk of graft-versus-host disease"", ""effect_text"": ""Patients who underwent allo-HCT experienced post-transplant-related complications, mostly grade ≥2 graft-versus-host disease, as expected. No comparative effect estimate between quizartinib and placebo arms reported."", ""effect_type"": ""not_reported"", ""effect_value"": null, ""ci_lower"": null, ""ci_upper"": null, ""follow_up_text"": ""not reported""}]"
40590852,gilteritinib vs placebo,"[{""outcome_label"": ""relapse-free survival"", ""effect_text"": ""NPM1 comutation was associated with the largest magnitude of relapse-free survival benefit from post-HCT gilteritinib, but no specific effect estimate for gilteritinib vs placebo is reported."", ""effect_type"": ""not_reported"", ""effect_value"": null, ""ci_lower"": null, ""ci_upper"": null, ""follow_up_text"": ""not reported""}, {""outcome_label"": ""overall survival"", ""effect_text"": ""not reported"", ""effect_type"": ""not_reported"", ""effect_value"": null, ""ci_lower"": null, ""ci_upper"": null, ""follow_up_text"": ""not reported""}, {""outcome_label"": ""risk of graft-versus-host disease"", ""effect_text"": ""not reported"", ""effect_type"": ""not_reported"", ""effect_value"": null, ""ci_lower"": null, ""ci_upper"": null, ""follow_up_text"": ""not reported""}]"
39167766,gilteritinib vs placebo,"[{""outcome_label"": ""relapse-free survival"", ""effect_text"": ""no statistically significant difference in primary analysis"", ""effect_type"": ""not_reported"", ""effect_value"": null, ""ci_lower"": null, ""ci_upper"": null, ""follow_up_text"": ""not reported""}, {""outcome_label"": ""overall survival"", ""effect_text"": ""not reported"", ""effect_type"": ""not_reported"", ""effect_value"": null, ""ci_lower"": null, ""ci_upper"": null, ""follow_up_text"": ""not reported""}, {""outcome_label"": ""risk of graft-versus-host disease"", ""effect_text"": ""not reported"", ""effect_type"": ""not_reported"", ""effect_value"": null, ""ci_lower"": null, ""ci_upper"": null, ""follow_up_text"": ""not reported""}]"
37414062,sorafenib maintenance vs non-maintenance,"[{""outcome_label"": ""5-year overall survival"", ""effect_text"": ""HR 0.55 (95% CI 0.34-0.88)"", ""effect_type"": ""HR"", ""effect_value"": 0.55, ""ci_lower"": 0.34, ""ci_upper"": 0.88, ""follow_up_text"": ""5-year follow-up (median 60.4 months)""}, {""outcome_label"": ""5-year leukaemia-free survival"", ""effect_text"": ""HR 0.47 (95% CI 0.30-0.73)"", ""effect_type"": ""HR"", ""effect_value"": 0.47, ""ci_lower"": 0.3, ""ci_upper"": 0.73, ""follow_up_text"": ""5-year follow-up (median 60.4 months)""}, {""outcome_label"": ""5-year cumulative incidence of relapse"", ""effect_text"": ""HR 0.33 (95% CI 0.18-0.60)"", ""effect_type"": ""HR"", ""effect_value"": 0.33, ""ci_lower"": 0.18, ""ci_upper"": 0.6, ""follow_up_text"": ""5-year follow-up (median 60.4 months)""}, {""outcome_label"": ""5-year cumulative incidence of chronic GVHD"", ""effect_text"": ""HR 0.82 (95% CI 0.56-1.19)"", ""effect_type"": ""HR"", ""effect_value"": 0.82, ""ci_lower"": 0.56, ""ci_upper"": 1.19, ""follow_up_text"": ""5-year follow-up (median 60.4 months)""}]"
37704613,sorafenib maintenance vs no sorafenib maintenance,"[{""outcome_label"": ""3-year overall survival"", ""effect_text"": ""HR 0.50 (95% CI 0.37-0.69)"", ""effect_type"": ""HR"", ""effect_value"": 0.5, ""ci_lower"": 0.37, ""ci_upper"": 0.69, ""follow_up_text"": ""3-year post-transplantation; median follow-up 36.5 months""}, {""outcome_label"": ""disease-free survival"", ""effect_text"": ""not reported"", ""effect_type"": ""not_reported"", ""effect_value"": null, ""ci_lower"": null, ""ci_upper"": null, ""follow_up_text"": ""not reported""}, {""outcome_label"": ""risk of graft-versus-host disease"", ""effect_text"": ""not reported"", ""effect_type"": ""not_reported"", ""effect_value"": null, ""ci_lower"": null, ""ci_upper"": null, ""follow_up_text"": ""not reported""}]"
40577201,sorafenib maintenance vs no sorafenib maintenance,"[{""outcome_label"": ""relapse-free survival probability"", ""effect_text"": ""SORA group 95.5% vs control group 66.7% (p=0.004)"", ""effect_type"": ""other"", ""effect_value"": null, ""ci_lower"": null, ""ci_upper"": null, ""follow_up_text"": ""median follow-up 20.7 months""}, {""outcome_label"": ""median overall survival"", ""effect_text"": ""SORA group 36.3 months vs control group 11.6 months (p=0.01)"", ""effect_type"": ""other"", ""effect_value"": null, ""ci_lower"": null, ""ci_upper"": null, ""follow_up_text"": ""median follow-up 20.7 months""}, {""outcome_label"": ""mortality rate"", ""effect_text"": ""4.2% in SORA group vs 50% in control group (p<0.001)"", ""effect_type"": ""other"", ""effect_value"": null, ""ci_lower"": null, ""ci_upper"": null, ""follow_up_text"": ""at last follow-up""}, {""outcome_label"": ""risk of graft-versus-host disease"", ""effect_text"": ""not reported"", ""effect_type"": ""not_reported"", ""effect_value"": null, ""ci_lower"": null, ""ci_upper"": null, ""follow_up_text"": ""not reported""}]"
32791048,sorafenib maintenance vs non-maintenance,"[{""outcome_label"": ""1-year cumulative incidence of relapse"", ""effect_text"": ""HR 0.25 (95% CI 0.11-0.57)"", ""effect_type"": ""HR"", ""effect_value"": 0.25, ""ci_lower"": 0.11, ""ci_upper"": 0.57, ""follow_up_text"": ""1-year; median follow-up 21.3 months""}, {""outcome_label"": ""overall survival"", ""effect_text"": ""not reported"", ""effect_type"": ""not_reported"", ""effect_value"": null, ""ci_lower"": null, ""ci_upper"": null, ""follow_up_text"": ""not reported""}, {""outcome_label"": ""acute graft-versus-host disease"", ""effect_text"": ""23% (23/100) in sorafenib group vs 21% (21/102) in control group"", ""effect_type"": ""other"", ""effect_value"": null, ""ci_lower"": null, ""ci_upper"": null, ""follow_up_text"": ""Within 210 days post-transplantation""}, {""outcome_label"": ""chronic graft-versus-host disease"", ""effect_text"": ""18% (18/99) in sorafenib group vs 17% (17/99) in control group"", ""effect_type"": ""other"", ""effect_value"": null, ""ci_lower"": null, ""ci_upper"": null, ""follow_up_text"": ""not reported""}]"
